Filename,# of Occurrences
app/services/cache_buster.rb,291
app/lib/sidekiq/searchable_sync_buffer_middleware.rb,146
app/lib/sidekiq/cache_buster_buffer_middleware.rb,146
app/jobs/courses/duplicate_captions_on_cloned_course_job.rb,141
app/lib/sidekiq/school_server_middleware.rb,125
app/controllers/application_controller.rb,121
app/lib/sidekiq/silent_retries.rb,73
app/lib/sidekiq/active_record_query_cache_middleware.rb,73
app/models/transaction.rb,73
app/services/checkout/finalize.rb,60
app/controllers/checkout/application_controller.rb,36
app/jobs/calculate_earnings_job.rb,19
app/lib/payments/stripe_charge_wrapper.rb,18
app/services/checkout/free.rb,12
app/controllers/checkout/orders_controller.rb,12
app/lib/monads/either.rb,10
app/models/school.rb,9
app/services/checkout/initialize.rb,8
app/services/stripe_webhooks/event_processor.rb,8
app/services/checkout/pay_with_stripe.rb,6
app/lib/json_api.rb,6
app/services/chargebee_school_plan_fetcher.rb,6
app/lib/geolocation.rb,5
app/interactors/student_checkout/update_street_addresses_interactor.rb,5
app/services/bulk_user_creator.rb,5
app/jobs/stripe_email_update_job.rb,4
app/models/concerns/stripe_customer_methods.rb,4
app/controllers/redirects_controller.rb,4
app/lib/payments/stripe_payment_intent_wrapper.rb,4
app/services/transactions/adjust_earnings.rb,3
app/controllers/concerns/school_analytics.rb,3
app/models/integration.rb,3
app/interactors/student_checkout/confirm_mobile_pay_interactor.rb,3
app/services/tax_integration/tax_service.rb,2
app/models/pdp/product_detail_page.rb,2
app/services/product_detail_page/admin/find.rb,2
app/services/user_creator.rb,2
app/jobs/stripe_webhook_processor_job.rb,2
app/interactors/student_checkout/address_lookup_interactor.rb,2
app/services/international_tax/create_global_invoice.rb,2
app/services/tax_integration/tax_invoice_service.rb,2
app/services/checkout/stripe/payment_intent_wrapper.rb,2
app/controllers/mobile/v1/courses_controller.rb,2
app/controllers/student_checkout/confirm_controller.rb,1
app/services/checkout/stripe.rb,1
app/controllers/api/v1/users_controller.rb,1
app/services/student_search_service.rb,1
app/services/international_tax/invoice/invoicing_strategy.rb,1
app/controllers/concerns/set_liquid_variables.rb,1
app/controllers/student_checkout/order_addresses_controller.rb,1
app/jobs/user_creator_job.rb,1
app/controllers/api/v1/pdp/product_detail_page_controller.rb,1
